"gene_id"	"tfbs_50kb"	"tfbs_100kb"	"tfbs_200kb"	"tfbs_500kb"	"tfbs_1000kb"
"ENSG00000000419"	0.20968	0.24309	0.24026	0.24921	0.280812
"ENSG00000000457"	0.1482	0.11183	0.109485	0.090018	0.089388
"ENSG00000000460"	0.09304	0.09831	0.09082	0.113074	0.098994
"ENSG00000000938"	0.5053	0.45007	0.35587	0.259314	0.215807
"ENSG00000000971"	0.071	0.09844	0.071595	0.061174	0.060747
"ENSG00000001036"	0.0955	0.11923	0.14267	0.123938	0.117399
"ENSG00000001084"	0.16164	0.14863	0.17937	0.15844	0.126871
"ENSG00000001167"	0.22246	0.17973	0.16408	0.147494	0.171565
"ENSG00000001460"	0.18618	0.18431	0.16813	0.17403	0.185456
"ENSG00000001461"	0.07904	0.11477	0.17711	0.16769	0.198635
"ENSG00000001561"	0.0546	0.06284	0.070395	0.06578	0.071143
"ENSG00000001617"	0.35042	0.34791	0.322575	0.245592	0.217784
"ENSG00000001626"	0.0902	0.06793	0.06594	0.07875	0.092315
"ENSG00000001629"	0.01564	0.01933	0.04426	0.072848	0.110052
"ENSG00000001630"	0.12758	0.08728	0.07654	0.07121	0.078488
"ENSG00000001631"	0.0819	0.06928	0.07152	0.074252	0.091849
"ENSG00000002016"	0.0885	0.12004	0.086935	0.108266	0.131605
"ENSG00000002330"	0.47424	0.54189	0.441925	0.28427	0.254729
"ENSG00000002549"	0.12824	0.15174	0.13555	0.097948	0.072727
"ENSG00000002587"	0.11942	0.08044	0.08619	0.063306	0.051905
"ENSG00000002726"	0.12464	0.16012	0.169605	0.257134	0.235888
"ENSG00000002745"	0.22954	0.20543	0.192035	0.158122	0.146922
"ENSG00000002746"	0.05146	0.08007	0.065045	0.108458	0.137509
"ENSG00000002822"	0.2105	0.14306	0.16705	0.160826	0.215
"ENSG00000002834"	0.40562	0.40072	0.259365	0.246318	0.238695
"ENSG00000002919"	0.2287	0.23931	0.244415	0.240962	0.303509
"ENSG00000002933"	0.2662	0.21741	0.17507	0.21474	0.244253
"ENSG00000003056"	0.11816	0.11303	0.08561	0.166482	0.127203
"ENSG00000003137"	0.24842	0.1693	0.128065	0.094682	0.090464
"ENSG00000003147"	0.12656	0.15888	0.18742	0.139778	0.11577
"ENSG00000003249"	0.25524	0.22936	0.238765	0.177669158890542	NA
"ENSG00000003393"	0.0957	0.11774	0.113795	0.096434	0.11092
"ENSG00000003400"	0.19028	0.21323	0.22917	0.153682	0.132908
"ENSG00000003402"	0.29214	0.27862	0.22416	0.142852	0.136211
"ENSG00000003436"	0.25976	0.2828	0.199795	0.107728	0.077457
"ENSG00000003509"	0.09618	0.1313	0.134335	0.104966	0.121104
"ENSG00000003756"	0.18892	0.1573	0.171665	0.241868	0.20468
"ENSG00000003987"	0.18506	0.14847	0.105705	0.117028	0.122281
"ENSG00000003989"	0.10062	0.15949	0.143475	0.14907	0.147134
"ENSG00000004059"	0.14288	0.13876	0.121625	0.122548	0.122843
"ENSG00000004139"	0.3331	0.25095	0.197315	0.178626	0.198759
"ENSG00000004142"	0.27954	0.25378	0.212015	0.182254	0.192416
"ENSG00000004399"	0.30904	0.29999	0.23486	0.177378	0.160428
"ENSG00000004455"	0.20064	0.20226	0.217225	0.195108	0.191219
"ENSG00000004468"	0.07982	0.10538	0.116425	0.100846	0.092834
"ENSG00000004478"	0.16576	0.14314	0.12562	0.121756	0.119045
"ENSG00000004487"	0.09608	0.18286	0.174235	0.147918	0.176787
"ENSG00000004534"	0.01014	0.01736	0.06252	0.189686	0.194165
"ENSG00000004660"	0.17674	0.23321	0.248285	0.211416	0.161037
"ENSG00000004700"	0.04924	0.08652	0.074945	0.06313	0.059947
"ENSG00000004766"	0.01716	0.0356	0.064915	0.067046	0.087916
