"gene_id"	"vip_distance"
ENSG00000000003	196325
ENSG00000000005	238312
ENSG00000000419	0
ENSG00000000457	398412
ENSG00000000460	283039
ENSG00000000938	175147
ENSG00000000971	0
ENSG00000001036	0
ENSG00000001084	248882
ENSG00000001167	256810
ENSG00000001460	132990
ENSG00000001461	75571
ENSG00000001497	0
ENSG00000001561	1719356
ENSG00000001617	68096
ENSG00000001626	475554
ENSG00000001629	196258
ENSG00000001630	0
ENSG00000001631	95016
ENSG00000002016	0
ENSG00000002330	0
ENSG00000002549	0
ENSG00000002586	222554
ENSG00000002587	1315813
ENSG00000002726	0
ENSG00000002745	0
ENSG00000002746	397390
ENSG00000002822	0
ENSG00000002834	0
ENSG00000002919	138419
ENSG00000002933	40304
ENSG00000003056	0
ENSG00000003096	583454
ENSG00000003137	782822
ENSG00000003147	510372
ENSG00000003249	19806
ENSG00000003393	295641
ENSG00000003400	0
ENSG00000003402	0
ENSG00000003436	879512
ENSG00000003509	25855
ENSG00000003756	0
ENSG00000003987	117726
ENSG00000003989	295777
ENSG00000004059	0
ENSG00000004139	0
ENSG00000004142	0
ENSG00000004399	100756
ENSG00000004455	332847
ENSG00000004468	380097
ENSG00000004478	0
ENSG00000004487	0
ENSG00000004534	0
ENSG00000004660	48895
ENSG00000004700	0
ENSG00000004766	186913
ENSG00000004776	0
ENSG00000004777	25355
ENSG00000004779	48807
ENSG00000004799	169965
ENSG00000004809	233456
ENSG00000004838	13198
ENSG00000004846	325372
ENSG00000004848	164369
ENSG00000004864	0
ENSG00000004866	0
ENSG00000004897	0
ENSG00000004939	44934
ENSG00000004948	390838
ENSG00000004961	0
ENSG00000004975	11449
ENSG00000005001	81323
ENSG00000005007	0
ENSG00000005020	311210
ENSG00000005022	0
ENSG00000005059	0
ENSG00000005073	41006
ENSG00000005075	0
ENSG00000005100	0
ENSG00000005102	97439
ENSG00000005108	667267
ENSG00000005156	0
ENSG00000005175	0
ENSG00000005187	33962
ENSG00000005189	0
ENSG00000005194	27434
ENSG00000005206	84899
ENSG00000005238	8533
ENSG00000005243	57304
ENSG00000005249	0
ENSG00000005302	649765
ENSG00000005339	0
ENSG00000005379	0
ENSG00000005381	0
ENSG00000005421	73012
ENSG00000005436	12677
ENSG00000005448	39517
ENSG00000005469	843316
ENSG00000005471	774988
ENSG00000005483	190736
ENSG00000005486	0
ENSG00000005513	244350
ENSG00000005700	1310223
ENSG00000005801	375198
ENSG00000005810	0
ENSG00000005812	126609
ENSG00000005844	0
ENSG00000005882	0
ENSG00000005884	0
ENSG00000005889	116371
ENSG00000005893	0
ENSG00000005961	31668
ENSG00000005981	89308
ENSG00000006007	26690
ENSG00000006015	0
ENSG00000006016	9528
ENSG00000006025	0
ENSG00000006042	472719
ENSG00000006047	18294
ENSG00000006059	154891
ENSG00000006062	140375
ENSG00000006071	70360
ENSG00000006116	246101
ENSG00000006118	12153
ENSG00000006125	0
ENSG00000006128	1177709
ENSG00000006194	208969
ENSG00000006210	0
ENSG00000006282	151102
ENSG00000006283	106286
ENSG00000006327	5477
ENSG00000006377	787110
ENSG00000006432	175068
ENSG00000006451	0
ENSG00000006453	567540
ENSG00000006459	87158
ENSG00000006468	2735001
ENSG00000006530	0
ENSG00000006534	14701
ENSG00000006555	77936
ENSG00000006576	140086
ENSG00000006606	0
ENSG00000006607	153380
ENSG00000006611	154622
ENSG00000006625	113625
ENSG00000006634	323177
ENSG00000006638	0
ENSG00000006652	2518685
ENSG00000006659	122901
ENSG00000006695	1985705
ENSG00000006704	285224
ENSG00000006712	0
ENSG00000006715	623230
ENSG00000006740	808264
ENSG00000006744	922962
ENSG00000006747	1675985
ENSG00000006756	422970
ENSG00000006757	3254275
ENSG00000006788	172099
ENSG00000006831	495410
ENSG00000006837	78092
ENSG00000007001	613782
ENSG00000007038	47378
ENSG00000007047	106926
ENSG00000007062	170230
ENSG00000007080	0
ENSG00000007129	125527
ENSG00000007168	61622
ENSG00000007171	138953
ENSG00000007174	298028
ENSG00000007202	25325
ENSG00000007216	77090
ENSG00000007237	453126
ENSG00000007255	85223
ENSG00000007264	24432
ENSG00000007306	82956
ENSG00000007312	81067
ENSG00000007314	55878
ENSG00000007341	73225
ENSG00000007350	48587
ENSG00000007372	157696
ENSG00000007376	105174
ENSG00000007384	14223
ENSG00000007392	0
ENSG00000007402	76344
ENSG00000007516	16118
ENSG00000007520	7062
ENSG00000007541	34389
ENSG00000007545	0
ENSG00000007866	15740
ENSG00000007908	253306
ENSG00000007923	0
ENSG00000007933	435162
ENSG00000007944	1467351
ENSG00000007952	28171
ENSG00000007968	0
ENSG00000008018	0
ENSG00000008056	29366
ENSG00000008083	1717626
ENSG00000008086	398841
ENSG00000008118	34843
ENSG00000008128	86581
ENSG00000008130	72330
ENSG00000008196	1338313
ENSG00000008197	1428073
ENSG00000008226	59135
ENSG00000008256	172040
ENSG00000008277	147539
ENSG00000008282	620574
ENSG00000008283	96814
ENSG00000008294	116463
ENSG00000008300	25455
ENSG00000008311	0
ENSG00000008323	15964
ENSG00000008324	36197
ENSG00000008382	28643
ENSG00000008394	0
ENSG00000008405	369741
ENSG00000008438	152199
ENSG00000008441	0
ENSG00000008513	243798
ENSG00000008516	19899
ENSG00000008517	0
ENSG00000008710	44214
ENSG00000008735	82329
ENSG00000008838	35922
ENSG00000008853	40848
ENSG00000008869	101775
ENSG00000008952	0
ENSG00000008988	0
ENSG00000009307	0
ENSG00000009335	0
ENSG00000009413	375519
ENSG00000009694	1003050
ENSG00000009709	452455
ENSG00000009724	17830
ENSG00000009765	321308
ENSG00000009780	54846
ENSG00000009790	135507
ENSG00000009830	165752
ENSG00000009844	664245
ENSG00000009950	34643
ENSG00000009954	0
ENSG00000010017	0
ENSG00000010030	149167
ENSG00000010072	48334
ENSG00000010165	258325
ENSG00000010219	298620
ENSG00000010244	0
ENSG00000010256	0
ENSG00000010270	0
ENSG00000010278	0
ENSG00000010282	73071
ENSG00000010292	0
ENSG00000010295	11075
ENSG00000010310	14027
ENSG00000010318	10886
ENSG00000010319	33388
ENSG00000010322	0
ENSG00000010327	35822
ENSG00000010361	15506
ENSG00000010379	174211
ENSG00000010404	1573938
ENSG00000010438	94111
ENSG00000010539	155670
ENSG00000010610	0
ENSG00000010626	24815
ENSG00000010671	0
ENSG00000010704	14962
ENSG00000010803	138728
ENSG00000010810	0
ENSG00000010818	0
ENSG00000010932	272273
ENSG00000011007	0
ENSG00000011009	26998
ENSG00000011021	98362
ENSG00000011028	0
ENSG00000011052	0
ENSG00000011083	71524
ENSG00000011105	272778
ENSG00000011114	101760
ENSG00000011132	9360
ENSG00000011143	13568
ENSG00000011198	0
ENSG00000011201	2536738
ENSG00000011243	0
ENSG00000011258	0
ENSG00000011260	0
ENSG00000011275	0
ENSG00000011295	102593
ENSG00000011304	0
ENSG00000011332	47964
ENSG00000011347	131890
ENSG00000011376	151903
ENSG00000011405	66768
ENSG00000011422	98789
ENSG00000011426	729999
ENSG00000011451	36194
ENSG00000011454	0
ENSG00000011465	1515510
ENSG00000011478	0
ENSG00000011485	236058
ENSG00000011523	0
ENSG00000011566	506457
ENSG00000011590	45540
ENSG00000011600	11387
ENSG00000011638	0
ENSG00000011677	541371
ENSG00000012048	0
ENSG00000012061	28507
ENSG00000012124	35293
ENSG00000012171	29728
ENSG00000012174	1653872
ENSG00000012211	7068
ENSG00000012223	0
ENSG00000012232	150917
ENSG00000012504	0
ENSG00000012660	0
ENSG00000012779	114583
ENSG00000012817	3424083
ENSG00000012822	0
ENSG00000012963	34574
ENSG00000012983	285629
ENSG00000013016	689992
ENSG00000013275	0
ENSG00000013288	42150
ENSG00000013293	261147
ENSG00000013297	258932
ENSG00000013306	26927
ENSG00000013364	0
ENSG00000013374	124419
ENSG00000013375	341546
ENSG00000013392	324068
ENSG00000013441	21251
ENSG00000013503	162850
ENSG00000013523	0
ENSG00000013561	108000
ENSG00000013563	7105
ENSG00000013573	0
ENSG00000013583	0
ENSG00000013588	82711
ENSG00000013619	965343
ENSG00000013725	77352
ENSG00000013810	0
ENSG00000014123	0
ENSG00000014138	0
ENSG00000014164	100065
ENSG00000014216	0
ENSG00000014257	135447
ENSG00000014641	268348
ENSG00000014824	0
ENSG00000014914	6945
ENSG00000014919	0
ENSG00000015133	0
ENSG00000015153	0
ENSG00000015171	0
ENSG00000015285	18273
ENSG00000015413	63270
ENSG00000015475	0
ENSG00000015479	0
ENSG00000015520	0
ENSG00000015532	31691
ENSG00000015568	274992
ENSG00000015592	359103
ENSG00000015676	90300
ENSG00000016082	1407085
ENSG00000016391	591007
ENSG00000016402	185900
ENSG00000016490	541321
ENSG00000016602	461733
ENSG00000016864	0
ENSG00000017260	0
ENSG00000017427	650039
ENSG00000017483	16864
ENSG00000017797	388075
ENSG00000018189	0
ENSG00000018236	599192
ENSG00000018280	80869
ENSG00000018408	0
ENSG00000018510	0
ENSG00000018610	0
ENSG00000018625	0
ENSG00000018699	236577
ENSG00000018869	692157
ENSG00000019102	721178
ENSG00000019144	44531
ENSG00000019169	0
ENSG00000019186	2429098
ENSG00000019485	241502
ENSG00000019505	344714
ENSG00000019549	950542
ENSG00000019582	0
ENSG00000019991	1210296
ENSG00000019995	109355
ENSG00000020129	0
ENSG00000020181	0
ENSG00000020256	445411
ENSG00000020426	0
ENSG00000020577	155876
ENSG00000020633	137476
ENSG00000020922	0
ENSG00000021300	64017
ENSG00000021355	0
ENSG00000021461	243523
